REPORT_DATE,PEOPLE_POSITIVE_NEW_CASES_COUNT,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
2020-02-20,2,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
2020-02-21,3,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
2020-02-22,0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
2020-02-23,0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-02-24,13,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
2020-02-25,2,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
2020-02-26,15,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
2020-02-27,0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0
2020-02-28,5,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0
2020-02-29,5,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
2020-03-01,18,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0
2020-03-02,16,18.0,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
2020-03-03,21,16.0,18.0,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
2020-03-04,36,21.0,16.0,18.0,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-05,67,36.0,21.0,16.0,18.0,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-03-06,83,67.0,36.0,21.0,16.0,18.0,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-07,117,83.0,67.0,36.0,21.0,16.0,18.0,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-08,119,117.0,83.0,67.0,36.0,21.0,16.0,18.0,5.0,5.0,0.0,15.0,2.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
